"idfriends";"user";"friend"
645491;5461;5831
645501;5461;6051
645511;5461;6991
645521;5461;5721
645531;5461;6081
645541;5461;5911
645551;5461;5801
645561;5461;6351
645571;5461;7151
645581;5461;5631
645591;5461;5641
645601;5461;7391
645611;5461;7171
645621;5461;6261
645631;5461;7681
645641;5461;6971
645651;5461;7401
645661;5461;5891
645671;5461;6511
645681;5461;7491
645691;5461;6821
645701;5461;6071
645711;5461;6761
645721;5461;7271
645731;5461;5931
645741;5461;6001
645751;5461;5491
645761;5461;5741
645771;5461;5881
645781;5461;5941
645791;5461;6181
645801;5461;7251
645811;5461;7071
645821;5461;7901
645831;5461;7601
645841;5461;6891
645851;5461;7711
645861;5461;5591
645871;5461;6401
645881;5461;7311
645891;5461;6461
645901;5461;7411
645911;5461;6251
645921;5461;7861
645931;5461;7821
645941;5461;5921
645951;5461;7521
645961;5461;6021
645971;5461;7381
645981;5461;5791
645991;5461;5841
646001;5461;5431
646011;5461;5601
646021;5461;6731
646031;5461;7771
646041;5461;5501
646051;5461;6191
646061;5461;6861
646071;5461;8101
646081;5461;7641
646091;5461;6361
646101;5461;8081
646111;5461;7551
646121;5461;6691
646131;5461;6381
646141;5461;6831
646151;5461;5951
646161;5461;5971
646171;5461;6531
646181;5461;6701
646191;5461;8011
646201;5461;5761
646211;5461;8041
646221;5461;7111
646231;5461;5521
646241;5471;7141
646251;5471;6401
646261;5471;6021
646271;5471;8081
646281;5471;5891
646291;5471;7161
646301;5471;7661
646311;5471;5551
646321;5471;5871
646331;5471;6351
646341;5471;7311
646351;5471;6031
646361;5471;5461
646371;5471;7291
646381;5471;6201
646391;5471;7251
646401;5471;8021
646411;5471;5481
646421;5471;7241
646431;5471;6001
646441;5471;7671
646451;5471;7701
646461;5471;6481
646471;5471;6311
646481;5471;5971
646491;5471;6101
646501;5471;5791
646511;5471;5961
646521;5471;6341
646531;5471;7271
646541;5471;6361
646551;5471;6081
646561;5471;6281
646571;5471;5501
646581;5471;7221
646591;5471;5771
646601;5471;5821
646611;5471;8111
646621;5471;8071
646631;5471;6901
646641;5471;5951
646651;5471;7761
646661;5471;7381
646671;5471;7061
646681;5471;6661
646691;5471;7091
646701;5471;5441
646711;5471;6591
646721;5471;6461
646731;5471;6391
646741;5471;5851
646751;5471;5881
646761;5471;6631
646771;5471;6691
646781;5471;6301
646791;5471;7041
646801;5471;6191
646811;5471;6851
646821;5471;6951
646831;5471;6211
646841;5471;7771
646851;5471;7741
646861;5471;7331
646871;5471;5861
646881;5471;5421
646891;5471;7071
646901;5471;6681
646911;5471;6581
646921;5471;6711
646931;5471;6991
646941;5471;7471
646951;5471;6571
646961;5471;6221
646971;5471;7871
646981;5471;5641
646991;5471;6331
647001;5471;6161
647011;5471;7121
647021;5471;5841
647031;5471;5981
647041;5471;6541
647051;5471;5611
647061;5471;7491
647071;5471;6061
647081;5471;8101
647091;5471;7081
647101;5471;7691
647111;5471;7511
647121;5471;7351
647131;5471;7371
647141;5471;7531
647151;5471;5691
647161;5471;6611
647171;5471;7981
647181;5471;7911
647191;5471;7731
647201;5471;5681
647211;5471;6771
647221;5471;6671
647231;5471;7501
647241;5471;6411
647251;5471;7021
647261;5471;6511
647271;5471;6731
647281;5471;6141
647291;5471;7541
647301;5471;6151
647311;5471;7621
647321;5471;7831
647331;5471;6131
647341;5471;7931
647351;5471;7591
647361;5471;5991
647371;5471;6961
647381;5471;7341
647391;5471;6811
647401;5471;6551
647411;5471;6841
647421;5471;6861
647431;5471;6891
647441;5471;7651
647451;5471;7571
647461;5471;7631
647471;5471;8051
647481;5471;7861
647491;5471;7941
647501;5471;7201
647511;5471;6011
647521;5471;7961
647531;5471;6561
647541;5471;7181
647551;5471;7521
647561;5471;7301
647571;5471;5761
647581;5471;6651
647591;5471;6621
647601;5471;7051
647611;5471;7131
647621;5471;6641
647631;5471;5731
647641;5471;6371
647651;5471;6241
647661;5481;7871
647671;5481;6861
647681;5481;7001
647691;5481;7931
647701;5481;5741
647711;5481;7731
647721;5481;7141
647731;5481;5871
647741;5481;7071
647751;5481;6551
647761;5481;7111
647771;5481;7911
647781;5481;6041
647791;5481;5541
647801;5481;6711
647811;5481;7981
647821;5481;7801
647831;5481;7951
647841;5481;7781
647851;5481;7621
647861;5481;5861
647871;5481;5451
647881;5481;7641
647891;5481;6981
647901;5481;7361
647911;5481;6251
647921;5481;7241
647931;5481;5961
647941;5481;5611
647951;5481;5641
647961;5481;5891
647971;5481;5791
647981;5481;6311
647991;5481;7581
648001;5481;6301
648011;5481;6781
648021;5481;5671
648031;5481;7411
648041;5481;7601
648051;5481;5801
648061;5481;5851
648071;5481;7681
648081;5481;7741
648091;5481;6201
648101;5481;5481
648111;5481;7661
648121;5481;7441
648131;5481;6831
648141;5481;5751
648151;5481;7051
648161;5481;6321
648171;5481;6511
648181;5481;6191
648191;5481;6371
648201;5481;7251
648211;5481;7771
648221;5481;6121
648231;5481;5461
648241;5481;7101
648251;5481;7341
648261;5481;6661
648271;5481;7821
648281;5481;6391
648291;5481;5921
648301;5481;6701
648311;5481;6171
648321;5481;7151
648331;5481;6911
648341;5481;6821
648351;5481;7861
648361;5481;7311
648371;5481;6331
648381;5481;6971
648391;5481;6961
648401;5481;6351
648411;5481;6801
648421;5481;6621
648431;5481;5421
648441;5481;7421
648451;5481;6891
648461;5481;6641
648471;5481;5811
648481;5481;7061
648491;5481;7121
648501;5491;7351
648511;5491;6541
648521;5491;7991
648531;5491;5451
648541;5491;6161
648551;5491;7271
648561;5491;5591
648571;5491;7701
648581;5491;5991
648591;5491;6811
648601;5491;7021
648611;5491;6501
648621;5491;7261
648631;5491;7661
648641;5491;5501
648651;5491;6141
648661;5491;8051
648671;5491;7971
648681;5491;6831
648691;5491;7331
648701;5491;7531
648711;5491;7081
648721;5491;7301
648731;5491;6871
648741;5491;7281
648751;5491;5921
648761;5491;6281
648771;5491;6201
648781;5491;5711
648791;5491;7501
648801;5491;6631
648811;5491;7691
648821;5491;7891
648831;5491;7881
648841;5491;6771
648851;5491;7741
648861;5491;7731
648871;5491;6561
648881;5491;6701
648891;5491;7211
648901;5491;5871
648911;5491;7371
648921;5491;5701
648931;5491;5741
648941;5491;5961
648951;5491;7591
648961;5491;5731
648971;5491;5771
648981;5491;7841
648991;5491;6321
649001;5491;7161
649011;5491;6011
649021;5491;5641
649031;5491;7831
649041;5491;6181
649051;5491;7411
649061;5491;7931
649071;5491;6171
649081;5491;8061
649091;5491;7641
649101;5491;8091
649111;5491;6941
649121;5491;7551
649131;5491;6651
649141;5491;5901
649151;5491;5441
649161;5491;7451
649171;5491;7521
649181;5491;5801
649191;5491;6411
649201;5491;5791
649211;5491;7441
649221;5491;7631
649231;5491;7471
649241;5491;6381
649251;5491;6491
649261;5491;5941
649271;5491;5671
649281;5491;6231
649291;5491;6051
649301;5491;6521
649311;5491;7961
649321;5491;7421
649331;5491;7861
649341;5491;7341
649351;5491;5981
649361;5491;7321
649371;5491;7821
649381;5491;5691
649391;5491;6901
649401;5491;7561
649411;5491;6021
649421;5491;5631
649431;5491;7291
649441;5501;6151
649451;5501;5431
649461;5501;5991
649471;5501;6641
649481;5501;7371
649491;5501;5461
649501;5501;7741
649511;5501;5561
649521;5501;6231
649531;5501;6731
649541;5501;7701
649551;5501;6651
649561;5501;6941
649571;5501;5441
649581;5501;5621
649591;5501;5481
649601;5501;5541
649611;5501;7651
649621;5501;6691
649631;5501;6811
649641;5501;6071
649651;5501;5661
649661;5501;6081
649671;5501;7721
649681;5501;6031
649691;5511;7261
649701;5511;5631
649711;5511;5451
649721;5511;5611
649731;5511;7541
649741;5511;6821
649751;5511;7491
649761;5511;6531
649771;5511;7941
649781;5511;6121
649791;5511;7131
649801;5511;6581
649811;5511;6481
649821;5511;6741
649831;5511;7141
649841;5511;6951
649851;5511;6321
649861;5511;6421
649871;5511;6651
649881;5511;7971
649891;5511;7511
649901;5511;6621
649911;5511;6391
649921;5511;7881
649931;5511;6631
649941;5511;6511
649951;5511;6891
649961;5511;6061
649971;5511;5981
649981;5511;6541
649991;5511;6271
650001;5511;7331
650011;5511;7501
650021;5511;8101
650031;5511;6971
650041;5511;6711
650051;5511;5501
650061;5511;6031
650071;5511;6221
650081;5511;7611
650091;5511;7431
650101;5511;5601
650111;5511;6141
650121;5511;7581
650131;5511;8021
650141;5511;5421
650151;5511;6241
650161;5511;6601
650171;5511;7551
650181;5511;6991
650191;5511;6201
650201;5511;6431
650211;5511;5671
650221;5511;5691
650231;5511;7571
650241;5511;7311
650251;5511;7001
650261;5511;6961
650271;5511;7801
650281;5511;7321
650291;5511;5731
650301;5511;7661
650311;5511;8081
650321;5511;6171
650331;5511;6521
650341;5511;6011
650351;5511;6811
650361;5511;5761
650371;5511;5701
650381;5511;7891
650391;5511;5771
650401;5511;5791
650411;5511;6901
650421;5511;6161
650431;5511;7931
650441;5511;6261
650451;5511;7871
650461;5511;5811
650471;5511;7981
650481;5511;6721
650491;5511;7211
650501;5511;7991
650511;5511;7381
650521;5511;7711
650531;5511;7641
650541;5511;5781
650551;5511;7121
650561;5511;6101
650571;5511;6841
650581;5511;7011
650591;5511;7061
650601;5511;7461
650611;5511;5841
650621;5511;7111
650631;5511;5491
650641;5511;6341
650651;5511;5681
650661;5511;5821
650671;5511;6981
650681;5511;5621
650691;5511;6941
650701;5511;6361
650711;5521;7071
650721;5521;5731
650731;5521;7011
650741;5521;7741
650751;5521;6481
650761;5521;7781
650771;5521;7341
650781;5521;6031
650791;5521;7971
650801;5521;5721
650811;5521;6761
650821;5521;6341
650831;5521;5861
650841;5521;5701
650851;5521;5751
650861;5521;5991
650871;5521;6981
650881;5521;6091
650891;5521;8071
650901;5521;7261
650911;5521;7851
650921;5521;6451
650931;5521;7771
650941;5521;6691
650951;5521;7041
650961;5521;7181
650971;5521;5681
650981;5521;6331
650991;5521;7121
651001;5521;6191
651011;5521;7431
651021;5521;6801
651031;5521;6431
651041;5521;6241
651051;5521;6811
651061;5521;7581
651071;5521;5891
651081;5521;7921
651091;5521;7361
651101;5521;6501
651111;5521;7791
651121;5521;7531
651131;5521;6831
651141;5521;7911
651151;5521;7191
651161;5521;7701
651171;5521;6441
651181;5521;5791
651191;5521;7291
651201;5521;6101
651211;5521;6711
651221;5521;7281
651231;5521;5571
651241;5521;5491
651251;5521;5971
651261;5521;7571
651271;5521;7051
651281;5521;6751
651291;5521;8021
651301;5521;6911
651311;5521;6941
651321;5521;6251
651331;5521;7941
651341;5521;6571
651351;5521;6111
651361;5521;6411
651371;5521;7461
651381;5521;6631
651391;5521;7161
651401;5521;6421
651411;5521;7621
651421;5521;8031
651431;5521;7611
651441;5521;6171
651451;5521;6881
651461;5521;6151
651471;5521;6301
651481;5521;7681
651491;5521;5621
651501;5521;8011
651511;5521;5481
651521;5521;6731
651531;5521;7481
651541;5521;6041
651551;5521;7251
651561;5521;5941
651571;5521;7891
651581;5521;7271
651591;5521;6641
651601;5521;5591
651611;5521;6821
651621;5521;7821
651631;5521;7321
651641;5521;7761
651651;5521;6271
651661;5521;7331
651671;5521;6081
651681;5521;5901
651691;5521;6721
651701;5521;6741
651711;5521;6681
651721;5521;7671
651731;5521;6511
651741;5521;7411
651751;5521;6791
651761;5521;6521
651771;5521;7311
651781;5521;7841
651791;5521;5601
651801;5521;6321
651811;5521;5541
651821;5531;7421
651831;5531;5811
651841;5531;7241
651851;5531;7501
651861;5531;5471
651871;5531;6201
651881;5531;6141
651891;5541;7391
651901;5541;5881
651911;5541;7401
651921;5541;6591
651931;5541;6891
651941;5541;8101
651951;5541;6561
651961;5541;7151
651971;5541;5471
651981;5541;5601
651991;5541;7241
652001;5541;6941
652011;5541;6121
652021;5541;7741
652031;5541;6391
652041;5541;7681
652051;5541;6831
652061;5541;6321
652071;5541;8081
652081;5541;5531
652091;5541;7711
652101;5541;7761
652111;5541;7841
652121;5541;7991
652131;5541;6031
652141;5541;6731
652151;5541;7221
652161;5541;7251
652171;5541;6271
652181;5541;7541
652191;5541;7331
652201;5541;6971
652211;5541;7101
652221;5541;5581
652231;5541;5491
652241;5541;6671
652251;5541;7181
652261;5541;6781
652271;5541;5831
652281;5541;6191
652291;5541;7551
652301;5541;8031
652311;5541;7611
652321;5541;6541
652331;5541;7021
652341;5541;6721
652351;5541;7981
652361;5541;5541
652371;5541;6201
652381;5541;6011
652391;5541;7201
652401;5541;6491
652411;5541;6501
652421;5541;6401
652431;5541;6811
652441;5541;5611
652451;5541;5801
652461;5541;7451
652471;5541;6771
652481;5541;6261
652491;5541;6211
652501;5541;5841
652511;5541;5461
652521;5541;7631
652531;5541;5891
652541;5541;6801
652551;5541;7371
652561;5541;5691
652571;5541;7641
652581;5541;6741
652591;5541;7691
652601;5541;5591
652611;5541;7881
652621;5541;7621
652631;5541;7171
652641;5541;5511
652651;5541;7341
652661;5541;5931
652671;5541;7111
652681;5541;7771
652691;5541;5551
652701;5541;7001
652711;5541;7291
652721;5541;7051
652731;5541;5861
652741;5541;6361
652751;5541;7351
652761;5541;5941
652771;5541;7581
652781;5541;6311
652791;5541;5961
652801;5541;6381
652811;5541;5971
652821;5541;7191
652831;5541;7921
652841;5551;7361
652851;5551;6211
652861;5551;7401
652871;5551;7961
652881;5551;5881
652891;5551;7761
652901;5551;7901
652911;5551;7601
652921;5551;7801
652931;5551;5581
652941;5551;7431
652951;5551;6871
652961;5551;6921
652971;5551;6441
652981;5551;7391
652991;5551;7371
653001;5551;7671
653011;5551;6481
653021;5551;7461
653031;5551;7921
653041;5551;6401
653051;5551;8031
653061;5551;7291
653071;5551;6431
653081;5551;7721
653091;5551;7971
653101;5551;5901
653111;5551;7491
653121;5551;7911
653131;5551;7421
653141;5551;7881
653151;5551;5891
653161;5551;5521
653171;5551;6371
653181;5551;7941
653191;5551;8101
653201;5551;7731
653211;5551;6001
653221;5551;7871
653231;5551;6301
653241;5551;6881
653251;5551;8091
653261;5551;6511
653271;5551;6861
653281;5551;6141
653291;5551;6251
653301;5551;8081
653311;5551;6771
653321;5551;6241
653331;5551;6991
653341;5551;5961
653351;5551;6631
653361;5551;7041
653371;5551;5511
653381;5551;5571
653391;5551;6901
653401;5551;5481
653411;5551;7481
653421;5551;6351
653431;5551;6021
653441;5551;7791
653451;5551;6361
653461;5551;6891
653471;5551;7201
653481;5551;6651
653491;5551;7021
653501;5551;6581
653511;5551;6931
653521;5551;5971
653531;5551;7821
653541;5551;6461
653551;5551;7011
653561;5551;7931
653571;5551;7811
653581;5551;7261
653591;5551;7061
653601;5551;7241
653611;5551;6531
653621;5551;5631
653631;5551;7411
653641;5551;5671
653651;5551;6101
653661;5551;6811
653671;5551;6621
653681;5551;5501
653691;5551;6671
653701;5551;5741
653711;5551;6821
653721;5551;5621
653731;5551;7231
653741;5561;7611
653751;5561;6591
653761;5561;6371
653771;5561;6491
653781;5561;6151
653791;5561;5851
653801;5561;6061
653811;5561;6441
653821;5561;7191
653831;5561;6551
653841;5561;7271
653851;5561;8041
653861;5561;6411
653871;5561;5881
653881;5561;7221
653891;5561;5671
653901;5561;6251
653911;5561;5481
653921;5561;5661
653931;5561;6571
653941;5561;5561
653951;5561;6531
653961;5561;6431
653971;5561;7011
653981;5561;6241
653991;5561;5461
654001;5561;7511
654011;5561;7931
654021;5561;5681
654031;5561;7071
654041;5561;6391
654051;5561;6751
654061;5561;6711
654071;5561;5571
654081;5561;5971
654091;5561;5651
654101;5561;7251
654111;5561;5951
654121;5561;6131
654131;5561;7831
654141;5561;5991
654151;5561;6921
654161;5561;8071
654171;5561;7531
654181;5561;7291
654191;5561;8111
654201;5561;5811
654211;5561;7581
654221;5561;7681
654231;5561;5961
654241;5561;8031
654251;5561;7651
654261;5561;6811
654271;5561;6911
654281;5561;6031
654291;5561;7711
654301;5561;7601
654311;5561;7631
654321;5561;7061
654331;5561;5531
654341;5561;7691
654351;5561;7911
654361;5561;7261
654371;5561;5911
654381;5561;6881
654391;5561;6321
654401;5561;7101
654411;5561;5931
654421;5561;5821
654431;5561;5901
654441;5561;5761
654451;5561;7371
654461;5561;6781
654471;5561;7861
654481;5561;7091
654491;5561;5641
654501;5561;5521
654511;5561;7141
654521;5561;6641
654531;5561;7231
654541;5561;7801
654551;5561;5711
654561;5561;6901
654571;5561;5451
654581;5561;7481
654591;5561;5501
654601;5561;6521
654611;5561;7841
654621;5561;7741
654631;5561;5751
654641;5571;7481
654651;5571;7691
654661;5571;7141
654671;5571;6781
654681;5571;7281
654691;5571;6071
654701;5571;7201
654711;5571;7501
654721;5571;6821
654731;5571;7651
654741;5571;5841
654751;5571;5751
654761;5571;6901
654771;5571;6881
654781;5571;7121
654791;5571;7471
654801;5571;7321
654811;5571;6941
654821;5571;5851
654831;5571;6711
654841;5571;6401
654851;5571;6671
654861;5571;7841
654871;5571;5531
654881;5571;7831
654891;5571;7431
654901;5571;7411
654911;5571;5651
654921;5571;7301
654931;5571;7231
654941;5571;6431
654951;5571;6471
654961;5571;5991
654971;5571;6161
654981;5571;5671
654991;5571;7541
655001;5571;7751
655011;5571;6151
655021;5571;6641
655031;5571;7991
655041;5571;6261
655051;5571;5921
655061;5571;5591
655071;5571;8071
655081;5571;6241
655091;5571;7551
655101;5571;7291
655111;5571;7081
655121;5571;6961
655131;5571;5881
655141;5571;6571
655151;5571;6981
655161;5571;6131
655171;5571;7741
655181;5571;6731
655191;5571;5621
655201;5571;6871
655211;5571;7631
655221;5571;7531
655231;5571;7941
655241;5571;5861
655251;5571;6801
655261;5571;7051
655271;5571;6441
655281;5571;5571
655291;5571;7351
655301;5571;6051
655311;5571;5931
655321;5571;6541
655331;5571;8061
655341;5571;6741
655351;5571;7911
655361;5571;7241
655371;5571;7171
655381;5571;7681
655391;5571;5481
655401;5571;6031
655411;5571;5521
655421;5571;6931
655431;5571;7811
655441;5571;7381
655451;5571;8081
655461;5571;6351
655471;5571;6011
655481;5571;7621
655491;5571;5441
655501;5571;7031
655511;5571;7311
655521;5571;7441
655531;5571;5891
655541;5571;7781
655551;5571;5581
655561;5571;8011
655571;5571;7001
655581;5571;7931
655591;5571;8041
655601;5571;7071
655611;5571;7771
655621;5571;5761
655631;5571;7921
655641;5571;6701
655651;5571;7131
655661;5571;6601
655671;5571;5451
655681;5571;7871
655691;5571;6041
655701;5571;6271
655711;5571;7971
655721;5581;7441
655731;5581;6411
655741;5581;7021
655751;5581;6141
655761;5581;7621
655771;5581;5741
655781;5581;7121
655791;5581;6521
655801;5581;7061
655811;5581;6381
655821;5581;7371
655831;5581;7351
655841;5581;8021
655851;5581;8061
655861;5581;6821
655871;5581;6451
655881;5581;7251
655891;5581;7321
655901;5581;5871
655911;5581;7811
655921;5581;6221
655931;5581;7771
655941;5581;8091
655951;5581;6401
655961;5581;8001
655971;5581;6951
655981;5581;7341
655991;5581;5991
656001;5581;6431
656011;5581;8041
656021;5581;6441
656031;5581;5521
656041;5581;7571
656051;5581;6941
656061;5581;7791
656071;5581;6421
656081;5581;6671
656091;5581;7911
656101;5581;5941
656111;5581;6391
656121;5581;6641
656131;5581;6081
656141;5581;7111
656151;5581;5831
656161;5581;5641
656171;5581;7151
656181;5581;6981
656191;5581;7671
656201;5581;6761
656211;5581;5861
656221;5581;7091
656231;5581;6261
656241;5581;5601
656251;5581;6631
656261;5581;6131
656271;5581;7541
656281;5581;8071
656291;5581;7991
656301;5581;7871
656311;5581;5951
656321;5581;6191
656331;5581;5971
656341;5581;7691
656351;5581;5661
656361;5581;6711
656371;5581;6091
656381;5581;5821
656391;5581;6971
656401;5581;6561
656411;5581;6331
656421;5581;7491
656431;5581;8011
656441;5581;7951
656451;5581;6111
656461;5581;7971
656471;5581;5651
656481;5581;6651
656491;5581;5511
656501;5581;7831
656511;5581;6301
656521;5581;5841
656531;5581;7821
656541;5581;6701
656551;5581;7531
656561;5581;7181
656571;5581;5591
656581;5581;6101
656591;5581;8051
656601;5581;6501
656611;5581;5431
656621;5581;6541
656631;5581;7641
656641;5581;6531
656651;5581;7081
656661;5581;5561
656671;5581;6241
656681;5581;7881
656691;5581;5961
656701;5581;6121
656711;5581;7301
656721;5581;7291
656731;5591;7891
656741;5591;5771
656751;5591;6161
656761;5591;7941
656771;5591;7791
656781;5591;7911
656791;5591;7781
656801;5591;7211
656811;5591;7811
656821;5591;5461
656831;5591;5591
656841;5591;6131
656851;5591;7831
656861;5591;5821
656871;5591;7741
656881;5591;6631
656891;5591;5991
656901;5591;7441
656911;5591;5721
656921;5591;5691
656931;5591;6781
656941;5591;7721
656951;5591;7311
656961;5591;5801
656971;5591;7601
656981;5591;6991
656991;5591;5641
657001;5591;7511
657011;5591;5581
657021;5591;7171
657031;5591;5501
657041;5591;5961
657051;5591;6241
657061;5591;6811
657071;5591;7221
657081;5591;6001
657091;5591;6071
657101;5591;6391
657111;5591;7331
657121;5591;5611
657131;5591;5571
657141;5591;5431
657151;5591;8041
657161;5591;7071
657171;5591;6821
657181;5591;7801
657191;5591;7141
657201;5591;5831
657211;5591;6831
657221;5591;7681
657231;5591;6361
657241;5591;6621
657251;5591;5711
657261;5591;5421
657271;5591;7081
657281;5591;6861
657291;5591;5941
657301;5591;8001
657311;5591;7531
657321;5591;7351
657331;5591;6281
657341;5591;6181
657351;5591;7871
657361;5591;7551
657371;5591;6921
657381;5591;7631
657391;5591;5561
657401;5591;7481
657411;5591;6841
657421;5591;5841
657431;5591;7651
657441;5591;5541
657451;5591;7191
657461;5591;6851
657471;5591;7181
657481;5591;6481
657491;5591;7471
657501;5591;7771
657511;5591;7121
657521;5601;5791
657531;5601;5611
657541;5601;5581
657551;5601;5881
657561;5601;6881
657571;5601;7141
657581;5601;6901
657591;5601;5801
657601;5601;7091
657611;5601;6031
657621;5601;5851
657631;5601;8071
657641;5601;7071
657651;5601;5731
657661;5601;6771
657671;5601;5541
657681;5601;6711
657691;5601;6941
657701;5601;5841
657711;5601;5461
657721;5601;6641
657731;5601;5921
657741;5601;7391
657751;5601;6071
657761;5601;6381
657771;5601;5911
657781;5601;7921
657791;5601;5891
657801;5601;7751
657811;5601;7341
657821;5601;5771
657831;5601;7621
657841;5601;7631
657851;5601;7371
657861;5601;6151
657871;5601;5661
657881;5601;7881
657891;5601;5831
657901;5601;6211
657911;5601;5971
657921;5601;7381
657931;5601;8111
657941;5601;7411
